# CAESAR Pro — Mirror Reflectivity Trend
# cavity=51.8 cm  RL=1.0  ZA_flag=500  He_flag=510
timestamp(KST)	filename	R_mean	R_std	R_min	R_max	Leff_mean_km	valid_frac_pct	n_ZA	n_He
2026-05-17 18:33	2026-05-17-001.dat	0.99991676	0.00002662	0.99988531	0.99995515	6.9847	44.8	29	28
2026-05-17 19:33	2026-05-17-002.dat	0.99985725	0.00006505	0.99977547	0.99994571	4.6823	44.8	27	28
2026-05-17 20:33	2026-05-17-003.dat	0.99967280	0.00019261	0.99942006	0.99992530	2.6810	44.8	29	28
2026-05-17 21:33	2026-05-17-004.dat	0.99990844	0.00002904	0.99986137	0.99995010	6.3476	44.8	28	28
2026-05-17 22:33	2026-05-17-005.dat	0.99989218	0.00003397	0.99982570	0.99993977	5.3618	44.8	28	28
2026-05-17 23:33	2026-05-17-006.dat	0.99987491	0.00004867	0.99979682	0.99993981	4.9101	44.8	29	28
2026-05-18 00:33	2026-05-17-007.dat	0.99990580	0.00002928	0.99986386	0.99994993	6.1602	45.0	28	28
2026-05-18 01:33	2026-05-17-008.dat	0.99990692	0.00002798	0.99986652	0.99995013	6.1959	45.0	29	28
2026-05-18 02:33	2026-05-17-009.dat	0.99991357	0.00002501	0.99988002	0.99995263	6.6250	45.0	28	28
2026-05-18 03:33	2026-05-17-010.dat	0.99990137	0.00003592	0.99985693	0.99994935	6.0632	44.9	29	29
2026-05-18 04:33	2026-05-17-011.dat	0.99990612	0.00003396	0.99986529	0.99995367	6.3953	44.9	28	29
2026-05-18 05:33	2026-05-17-012.dat	0.99989718	0.00003208	0.99986333	0.99994522	5.6635	44.9	28	29
2026-05-18 06:33	2026-05-17-013.dat	0.99991116	0.00002731	0.99986824	0.99995174	6.4793	45.0	28	28
2026-05-18 07:33	2026-05-17-014.dat	0.99991539	0.00002576	0.99986896	0.99995577	6.8470	45.0	29	28
2026-05-18 08:33	2026-05-17-015.dat	0.99991811	0.00002681	0.99987517	0.99995674	7.1376	45.0	29	28
2026-05-18 09:33	2026-05-17-016.dat	0.99990787	0.00002845	0.99986798	0.99995091	6.2945	45.0	29	29
2026-05-18 09:34	2026-05-18-001.dat	0.99990937	0.00002690	0.99986888	0.99995236	6.3784	45.0	29	29
2026-05-18 10:35	2026-05-18-002.dat	0.99990416	0.00003209	0.99985719	0.99994976	6.1430	44.8	29	29
2026-05-18 11:35	2026-05-18-003.dat	0.99994804	0.00000721	0.99993953	0.99996013	10.1745	44.8	28	29
2026-05-18 12:33	2026-05-18-004.dat	0.99994050	0.00000492	0.99993005	0.99995295	8.7691	44.7	28	29
2026-05-18 13:41	2026-05-18-005.dat	0.99992256	0.00002083	0.99988642	0.99995513	7.2755	43.9	28	29
2026-05-18 14:41	2026-05-18-006.dat	0.99992975	0.00002053	0.99989610	0.99995889	8.0886	43.9	28	29
2026-05-18 15:41	2026-05-18-007.dat	0.99993158	0.00002024	0.99989963	0.99996107	8.3537	43.9	28	29
2026-05-18 16:41	2026-05-18-008.dat	0.99992484	0.00002034	0.99988938	0.99995638	7.5101	43.9	29	28
2026-05-18 17:41	2026-05-18-009.dat	0.99992854	0.00001977	0.99989548	0.99995787	7.8969	43.9	29	28
2026-05-18 18:41	2026-05-18-010.dat	0.99992432	0.00001910	0.99989176	0.99995298	7.3443	43.9	29	28
2026-05-18 19:41	2026-05-18-011.dat	0.99992267	0.00002427	0.99989322	0.99995637	7.4441	43.8	28	29
2026-05-18 20:41	2026-05-18-012.dat	0.99984999	0.00006096	0.99969946	0.99994255	4.3885	43.8	29	29
2026-05-18 21:41	2026-05-18-013.dat	0.99979322	0.00012966	0.99949009	0.99994075	3.8419	43.8	28	29
2026-05-18 22:41	2026-05-18-014.dat	0.99991977	0.00002132	0.99988452	0.99995401	7.0394	43.9	27	28
2026-05-18 23:41	2026-05-18-015.dat	0.99992469	0.00002212	0.99989189	0.99995686	7.5685	43.9	29	28
2026-05-19 00:41	2026-05-18-016.dat	0.99992774	0.00001836	0.99989523	0.99995604	7.7180	43.9	29	28
2026-05-19 01:41	2026-05-18-017.dat	0.99991968	0.00002486	0.99988959	0.99995638	7.2096	43.9	29	29
2026-05-19 02:41	2026-05-18-018.dat	0.99992277	0.00002335	0.99989423	0.99995796	7.4866	43.9	29	29
2026-05-19 03:41	2026-05-18-019.dat	0.99992990	0.00002001	0.99990307	0.99995957	8.1064	43.9	29	29
2026-05-19 04:41	2026-05-18-020.dat	0.99991584	0.00002688	0.99987797	0.99995486	6.9232	43.9	28	29
2026-05-19 05:41	2026-05-18-021.dat	0.99992163	0.00002377	0.99988660	0.99995582	7.3240	43.9	28	29
2026-05-19 06:41	2026-05-18-022.dat	0.99992041	0.00002505	0.99988583	0.99995563	7.2487	43.9	29	29
2026-05-19 07:41	2026-05-18-023.dat	0.99991815	0.00002573	0.99988662	0.99995432	7.0418	43.9	29	28
2026-05-19 08:41	2026-05-18-024.dat	0.99991279	0.00002554	0.99987425	0.99995323	6.6067	43.9	29	28
2026-05-19 09:41	2026-05-18-025.dat	0.99991287	0.00002544	0.99987699	0.99995458	6.6296	43.9	29	28
2026-05-19 10:41	2026-05-19-001.dat	0.99991826	0.00002370	0.99988525	0.99995431	6.9898	44.0	28	28
2026-05-19 11:41	2026-05-19-002.dat	0.99986174	0.00007450	0.99972976	0.99995671	5.4036	44.0	29	28
2026-05-19 12:41	2026-05-19-003.dat	0.99984540	0.00008108	0.99974184	0.99996367	5.4872	44.0	29	28
2026-05-19 13:41	2026-05-19-004.dat	0.99991094	0.00002865	0.99987040	0.99995268	6.5551	45.1	28	28
2026-05-19 14:41	2026-05-19-005.dat	0.99992116	0.00002867	0.99988125	0.99995867	7.5789	45.1	29	28
2026-05-19 15:41	2026-05-19-006.dat	0.99995186	0.00001568	0.99992857	0.99997083	11.9544	45.1	28	28
2026-05-19 16:41	2026-05-19-007.dat	0.99990125	0.00003361	0.99986144	0.99994901	5.9912	45.1	29	29
2026-05-19 17:41	2026-05-19-008.dat	0.99989914	0.00004517	0.99982675	0.99994999	6.2340	45.1	28	29
2026-05-19 18:41	2026-05-19-009.dat	0.99978417	0.00010474	0.99955333	0.99991934	3.1420	45.1	29	29
2026-05-19 19:41	2026-05-19-010.dat	0.99990686	0.00003207	0.99986808	0.99995262	6.3406	44.7	29	28
