# CAESAR Pro — Mirror Reflectivity Trend
# cavity=51.8 cm  RL=1.0  ZA_flag=500  He_flag=510
timestamp(KST)	filename	R_mean	R_std	R_min	R_max	Leff_mean_km	valid_frac_pct	n_ZA	n_He
2026-05-18 12:40	2026-05-18-001.dat	0.99989127	0.00004516	0.99981999	0.99993785	5.5142	41.4	35	35
2026-05-18 13:40	2026-05-18-002.dat	0.99985085	0.00009213	0.99966358	0.99993002	4.6466	41.4	34	35
2026-05-18 14:40	2026-05-18-003.dat	0.99983909	0.00011456	0.99959246	0.99992907	4.6984	41.4	35	35
2026-05-18 15:40	2026-05-18-004.dat	0.99987183	0.00005499	0.99978567	0.99993046	4.7429	41.4	35	34
2026-05-18 16:40	2026-05-18-005.dat	0.99985371	0.00005148	0.99979927	0.99992917	4.1564	41.4	34	34
2026-05-18 17:40	2026-05-18-006.dat	0.99978485	0.00014387	0.99957922	0.99992657	3.6987	41.4	34	34
2026-05-18 18:40	2026-05-18-007.dat	0.99985954	0.00006014	0.99976540	0.99992316	4.3207	41.5	34	34
2026-05-18 19:40	2026-05-18-008.dat	0.99986776	0.00006202	0.99977002	0.99993491	4.7341	41.5	35	34
2026-05-18 20:40	2026-05-18-009.dat	0.99984751	0.00005521	0.99980176	0.99993695	4.0969	41.5	34	34
2026-05-18 21:40	2026-05-18-010.dat	0.99987171	0.00005506	0.99978520	0.99992980	4.7365	41.4	35	34
2026-05-18 22:40	2026-05-18-011.dat	0.99987164	0.00004190	0.99981275	0.99992842	4.5211	41.4	35	34
2026-05-18 23:40	2026-05-18-012.dat	0.99987484	0.00003641	0.99982496	0.99992811	4.5605	41.4	34	34
2026-05-19 00:40	2026-05-18-013.dat	0.99987039	0.00006157	0.99977249	0.99993067	4.8092	41.4	34	34
2026-05-19 01:40	2026-05-19-001.dat	0.99986788	0.00006568	0.99976299	0.99992949	4.7778	41.4	35	34
2026-05-19 02:40	2026-05-19-002.dat	0.99986854	0.00006847	0.99975876	0.99992888	4.8634	41.4	35	34
2026-05-19 03:40	2026-05-19-003.dat	0.99987081	0.00006336	0.99976972	0.99993154	4.8735	41.4	34	34
2026-05-19 04:40	2026-05-19-004.dat	0.99986379	0.00007624	0.99974093	0.99993033	4.8339	41.4	35	34
2026-05-19 05:40	2026-05-19-005.dat	0.99986667	0.00007066	0.99975331	0.99993010	4.8359	41.4	34	34
2026-05-19 06:40	2026-05-19-006.dat	0.99987626	0.00005507	0.99978932	0.99993195	4.9462	41.4	35	34
2026-05-19 07:40	2026-05-19-007.dat	0.99987523	0.00005542	0.99978016	0.99993150	4.8977	41.4	34	34
2026-05-19 08:40	2026-05-19-008.dat	0.99987176	0.00005323	0.99978685	0.99993206	4.7200	41.4	35	34
2026-05-19 09:40	2026-05-19-009.dat	0.99986410	0.00007301	0.99974676	0.99993044	4.7826	41.4	34	35
2026-05-19 10:40	2026-05-19-010.dat	0.99986481	0.00006240	0.99976645	0.99992958	4.5918	41.4	35	35
2026-05-19 11:40	2026-05-19-011.dat	0.99987325	0.00008325	0.99970585	0.99993830	5.7139	41.4	35	35
2026-05-19 12:40	2026-05-19-012.dat	0.99987394	0.00005503	0.99978761	0.99993204	4.8460	41.4	35	34
2026-05-19 13:40	2026-05-19-013.dat	0.99987987	0.00005277	0.99978682	0.99992910	5.0404	41.4	34	34
2026-05-19 14:40	2026-05-19-014.dat	0.99986605	0.00006966	0.99975625	0.99992407	4.7781	41.4	34	34
2026-05-19 15:40	2026-05-19-015.dat	0.99987533	0.00005948	0.99978042	0.99993074	4.9809	41.4	34	34
2026-05-19 16:40	2026-05-19-016.dat	0.99986236	0.00008339	0.99972881	0.99992535	4.9572	41.4	36	34
2026-05-19 17:40	2026-05-19-017.dat	0.99986884	0.00009705	0.99959637	0.99994875	6.1143	41.4	35	34
2026-05-19 18:40	2026-05-19-018.dat	0.99988270	0.00005036	0.99980316	0.99993379	5.1477	41.3	34	34
2026-05-19 19:40	2026-05-19-019.dat	0.99966790	0.00033920	0.99917162	0.99993126	3.9176	41.3	34	34
2026-05-19 20:40	2026-05-19-020.dat	0.99882362	0.00158717	0.99649874	0.99993058	3.9998	41.3	34	34
2026-05-19 21:40	2026-05-19-021.dat	0.99987502	0.00005481	0.99978851	0.99992804	4.8536	41.4	35	35
2026-05-19 22:40	2026-05-19-022.dat	0.99986703	0.00007080	0.99975364	0.99992784	4.8473	41.4	34	35
