case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_cold_s0000,0.0439092,0,-0.0130025,0.0526394,-0.0223768,-2.49434e-12,0.0055
etalon_f_cold_s0013,0.0439092,0,0.0229182,0.122955,0.0463442,-2.87548e-13,0.0055
etalon_f_cold_s0026,0.0439092,0,0.0277751,0.130769,0.0420781,-1.12343e-08,0.0055
etalon_f_cold_s0039,0.0439092,0,0.03525,0.0618093,0.0447043,-3.9968e-15,0.0055
etalon_f_cold_s0052,0.0439092,0,0.0120112,0.0180454,0.00963943,4.80492e-10,0.0055
etalon_f_cold_s0065,0.0439092,0,0.0194824,0.0202143,0.0175302,1.62669e-07,0.0055
etalon_f_cold_s0078,0.0439092,0,0.00648178,0.059659,0.00699171,-5.46452e-13,0.0055
etalon_f_cold_s0091,0.0439092,0,0.0420762,0.349712,0.0307517,0.144694,0.0055
etalon_f_cold_s0104,0.0439092,0,0.00633266,0.434749,-0.00304718,2.94457e-11,0.0055
etalon_f_cold_s0117,0.0439092,0,0.0312886,0.365157,0.0219541,1.97818e-06,0.0055
etalon_f_cold_s0130,0.0439092,0,0.0313985,0.263483,0.0176957,0.462845,0.0055
etalon_f_cold_s0143,0.0439092,0,0.0120177,0.0809045,0.0100837,-3.15982e-09,0.0055
etalon_f_cold_s0156,0.0439092,0,0.0287973,1.02417,0.0239372,-3.08385e-10,0.0055
etalon_f_cold_s0169,0.0439092,0,0.0164158,0.280939,0.00528858,0.361829,0.0055
etalon_f_cold_s0182,0.0439092,0,0.0161397,0.325323,0.00393994,0.0917574,0.0055
etalon_f_cold_s0195,0.0439092,0,0.0116587,0.115106,0.00080413,2.63849e-10,0.0055
etalon_f_cold_s0208,0.0439092,0,0.0225536,2.63158,0.00801994,-6.74782e-12,0.0055
etalon_f_cold_s0221,0.0439092,0,0.0708992,0.360195,0.0429005,0.198265,0.0055
etalon_f_cold_s0234,0.0439092,0,0.00691026,0.826087,-0.00356588,0.311244,0.0055
etalon_f_cold_s0247,0.0439092,0,0.00952915,1.54858,0.00586534,2.16432e-08,0.0055
etalon_f_cold_s0260,0.0439092,0,0.0434665,0.445626,0.0249622,2.32104e-09,0.0055
etalon_f_cold_s0273,0.0439092,0,0.00736704,0.277532,0.00816916,-5.68434e-14,0.0055
etalon_f_cold_s0286,0.0439092,0,0.0253104,1.23284,0.0177198,-6.90387e-12,0.0055
etalon_f_cold_s0299,0.0439092,0,0.0153243,-0.317795,0.017988,-1.85697e-11,0.0055
etalon_f_cold_s0312,0.0439092,0,-0.00533031,0.00360734,-0.00123385,-7.96417e-11,0.0055
etalon_f_cold_s0325,0.0439092,0,-0.00214734,1.28986,-0.00269336,2.24894e-09,0.0055
etalon_f_cold_s0338,0.0439092,0,0.00712485,0.251252,0.00230606,5.53557e-13,0.0055
etalon_f_cold_s0351,0.0439092,0,-0.0210549,0.132841,-0.0262653,1.52617e-07,0.0055
etalon_f_cold_s0364,0.0439092,0,-0.0223529,0.00510481,-0.036209,3.27086e-10,0.0055
etalon_f_cold_s0377,0.0439092,0,-0.00730064,0.050936,-0.0197985,0,0.0055
etalon_f_cold_s0390,0.0439092,0,-0.0177996,-0.0447165,-0.0471205,-3.07199e-13,0.0055
etalon_f_cold_median|abs|,0.0439092,0,0.0164158,0.263483,0.0176957,3.27086e-10,0.0055
etalon_f_cold_p95|abs|,0.0439092,0,0.0427018,1.40628,0.0454422,0.334007,0.0055
