case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_cold_n_s0000,0.0579023,0,-0.00167222,1.97746,-0.0062574,0,0.0055
etalon_f_cold_n_s0002,0.0579023,0,-0.00608826,0.24243,-0.0113058,0,0.0055
etalon_f_cold_n_s0004,0.0579023,0,-0.000305267,0.437658,-0.00158939,0,0.0055
etalon_f_cold_n_s0006,0.0579023,0,0.00187828,0.277784,0.000189265,0,0.0055
etalon_f_cold_n_s0008,0.0579023,0,0.0153231,494.22,0.0151882,0,0.0055
etalon_f_cold_n_s0010,0.0579023,0,0.00723147,0.198053,0.00857141,0,0.0055
etalon_f_cold_n_s0012,0.0579023,0,0.00681631,0.123861,0.00729503,0,0.0055
etalon_f_cold_n_s0014,0.0579023,0,0.000118645,0.162023,-0.00297777,0,0.0055
etalon_f_cold_n_s0016,0.0579023,0,0.00767556,0.127793,0.00938389,0,0.0055
etalon_f_cold_n_s0018,0.0579023,0,-0.0156726,-0.259452,-0.0151179,0,0.0055
etalon_f_cold_n_s0020,0.0579023,0,-0.0139994,-0.103487,-0.0201422,0,0.0055
etalon_f_cold_n_s0022,0.0579023,0,0.00959613,0.0654899,0.0112284,0,0.0055
etalon_f_cold_n_s0024,0.0579023,0,0.00641236,0.0784708,0.00641099,0,0.0055
etalon_f_cold_n_s0026,0.0579023,0,0.0143983,0.171761,0.0146767,0,0.0055
etalon_f_cold_n_s0028,0.0579023,0,0.00831417,0.133959,0.00780192,0,0.0055
etalon_f_cold_n_s0030,0.0579023,0,0.00356335,0.168689,0.00162259,0,0.0055
etalon_f_cold_n_s0032,0.0579023,0,-0.00500454,-0.0209731,-0.00563457,0,0.0055
etalon_f_cold_n_s0034,0.0579023,0,-0.0097339,-0.117034,-0.0117502,0,0.0055
etalon_f_cold_n_s0036,0.0579023,0,-0.00970139,-0.0660522,-0.0116701,0,0.0055
etalon_f_cold_n_s0038,0.0579023,0,-0.00275795,-0.00980523,-0.00323791,0,0.0055
etalon_f_cold_n_s0040,0.0579023,0,0.00743251,0.954582,0.00527479,0,0.0055
etalon_f_cold_n_s0042,0.0579023,0,0.0108527,0.340046,0.00771387,0,0.0055
etalon_f_cold_n_s0044,0.0579023,0,-0.0133376,-0.141537,-0.0135992,0,0.0055
etalon_f_cold_n_s0046,0.0579023,0,-0.00147557,-0.00599385,-0.00234977,0,0.0055
etalon_f_cold_n_s0048,0.0579023,0,0.00401658,0.125366,0.0019209,0,0.0055
etalon_f_cold_n_s0050,0.0579023,0,0.000670167,-0.029806,0.000570601,0,0.0055
etalon_f_cold_n_s0052,0.0579023,0,-0.00791663,-0.117568,-0.00644048,0,0.0055
etalon_f_cold_n_s0054,0.0579023,0,0.0298908,0.241263,0.023098,0,0.0055
etalon_f_cold_n_s0056,0.0579023,0,0.00935546,0.0972491,0.00757558,0,0.0055
etalon_f_cold_n_s0058,0.0579023,0,-0.00470034,-0.156711,-0.00190032,0,0.0055
etalon_f_cold_n_s0060,0.0579023,0,-0.0106425,-0.123609,-0.00934562,0,0.0055
etalon_f_cold_n_s0062,0.0579023,0,0.00431494,-0.0141453,0.00317863,0,0.0055
etalon_f_cold_n_s0064,0.0579023,0,-0.00112415,-0.0778855,-0.00103668,0,0.0055
etalon_f_cold_n_s0066,0.0579023,0,0.00448581,0.0948607,0.00311797,0,0.0055
etalon_f_cold_n_s0068,0.0579023,0,-0.00259691,-0.36085,-0.00263269,0,0.0055
etalon_f_cold_n_s0070,0.0579023,0,-0.0277615,-0.25793,-0.0244421,0,0.0055
