case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_cold_op_s0000,0.0579023,0,-0.00167222,1.97746,-0.0062574,0,0.0055
etalon_f_cold_op_s0010,0.0579023,0,0.00723147,0.198053,0.00857141,0,0.0055
etalon_f_cold_op_s0020,0.0579023,0,-0.0139994,-0.103487,-0.0201422,0,0.0055
etalon_f_cold_op_s0030,0.0579023,0,0.00356335,0.168689,0.00162259,0,0.0055
etalon_f_cold_op_s0040,0.0579023,0,0.00743251,0.954582,0.00527479,0,0.0055
etalon_f_cold_op_s0050,0.0579023,0,0.000670167,-0.029806,0.000570601,0,0.0055
etalon_f_cold_op_s0060,0.0579023,0,-0.0106425,-0.123609,-0.00934562,0,0.0055
etalon_f_cold_op_s0070,0.0579023,0,-0.0277615,-0.25793,-0.0244421,0,0.0055
etalon_f_cold_op_s0080,0.0579023,0,0.000359646,0.00110671,-3.18793e-05,0,0.0055
etalon_f_cold_op_s0090,0.0579023,0,0.0136288,0.111022,0.00834944,0,0.0055
etalon_f_cold_op_s0100,0.0579023,0,0.0118116,0.0293411,0.0105029,0,0.0055
etalon_f_cold_op_s0110,0.0579023,0,0.00201903,0.0570075,0.00187625,0,0.0055
etalon_f_cold_op_s0120,0.0579023,0,0.0510919,0.90336,0.037712,0,0.0055
etalon_f_cold_op_s0130,0.0579023,0,0.047924,0.261444,0.0228383,0,0.0055
etalon_f_cold_op_s0140,0.0579023,0,0.0378625,0.25427,0.0257255,0,0.0055
etalon_f_cold_op_s0150,0.0579023,0,0.0218933,0.082165,0.00893136,0,0.0055
etalon_f_cold_op_s0160,0.0579023,0,0.0388095,0.293824,0.0221614,0,0.0055
etalon_f_cold_op_s0170,0.0579023,0,0.00180789,0.119248,4.17174e-05,0,0.0055
etalon_f_cold_op_s0180,0.0579023,0,0.01188,0.0879069,0.0071674,0,0.0055
etalon_f_cold_op_s0190,0.0579023,0,0.0187834,0.62395,0.00904998,0,0.0055
etalon_f_cold_op_s0200,0.0579023,0,-0.0042129,0.0312382,-0.00217223,0,0.0055
etalon_f_cold_op_s0210,0.0579023,0,0.0238799,0.505097,0.00977779,0,0.0055
etalon_f_cold_op_s0220,0.0579023,0,0.0149742,-2.11832,0.0105767,0,0.0055
etalon_f_cold_op_s0230,0.0579023,0,0.05095,-6.66834,0.0250659,0,0.0055
etalon_f_cold_op_s0240,0.0579023,0,0.0139128,0.128826,0.00623133,0,0.0055
etalon_f_cold_op_s0250,0.0579023,0,0.019634,0.114709,0.0128622,0,0.0055
etalon_f_cold_op_s0260,0.0579023,0,0.0361553,0.124707,0.0201284,0,0.0055
etalon_f_cold_op_s0270,0.0579023,0,0.0367096,0.119386,0.0283773,0,0.0055
etalon_f_cold_op_s0280,0.0579023,0,0.0419676,0.24068,0.0235648,0,0.0055
etalon_f_cold_op_s0290,0.0579023,0,0.0186386,0.148748,0.0141063,0,0.0055
etalon_f_cold_op_s0300,0.0579023,0,0.00754609,-0.00392516,0.00656673,0,0.0055
etalon_f_cold_op_s0310,0.0579023,0,-0.0141561,0.227817,-0.00962087,0,0.0055
etalon_f_cold_op_s0320,0.0579023,0,-0.00509535,0.135068,-0.0054818,0,0.0055
etalon_f_cold_op_s0330,0.0579023,0,-0.00765826,-0.235484,-0.00700759,0,0.0055
etalon_f_cold_op_s0340,0.0579023,0,-0.0388634,-0.13448,-0.0361646,0,0.0055
etalon_f_cold_op_s0350,0.0579023,0,-0.0350731,-0.118822,-0.0232302,0,0.0055
etalon_f_cold_op_s0360,0.0579023,0,-0.0125112,-0.0510106,-0.0166931,0,0.0055
etalon_f_cold_op_s0370,0.0579023,0,-0.0181903,-0.10814,-0.0146236,0,0.0055
etalon_f_cold_op_s0380,0.0579023,0,-0.0155171,-0.137291,-0.0154313,0,0.0055
etalon_f_cold_op_s0390,0.0579023,0,-0.0116845,-0.077391,-0.0267882,0,0.0055
etalon_f_cold_op_median|abs|,0.0579023,0,0.0140778,0.131653,0.0101404,0,0.0055
etalon_f_cold_op_p95|abs|,0.0579023,0,0.047924,1.97746,0.0283773,0,0.0055
