case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_hot_ANs_s0000,0.0389621,0,4.73874e-06,0.260964,-0.0339782,0.16487,0.0055
etalon_f_hot_ANs_s0013,0.0389621,0,-0.0109475,0.104618,-0.00553564,-0.49942,0.0055
etalon_f_hot_ANs_s0026,0.0389621,0,-0.0129255,0.0267911,0.0145387,0.36178,0.0055
etalon_f_hot_ANs_s0039,0.0389621,0,-0.0177716,-0.0296502,-0.00227774,-1.65379e-12,0.0055
etalon_f_hot_ANs_s0052,0.0389621,0,-0.00426041,-0.460032,0.00409427,-0.354205,0.0055
etalon_f_hot_ANs_s0065,0.0389621,0,0.000956374,0.0403313,0.0146849,0.105103,0.0055
etalon_f_hot_ANs_s0078,0.0389621,0,0.00429493,0.0916779,0.0134112,0.00555507,0.0055
etalon_f_hot_ANs_s0091,0.0389621,0,0.00246842,0.060088,0.00597347,0.145304,0.0055
etalon_f_hot_ANs_s0104,0.0389621,0,0.00465601,2.57586,0.0122494,0.379757,0.0055
etalon_f_hot_ANs_s0117,0.0389621,0,0.0224328,-2.44059,0.0516552,0.36023,0.0055
etalon_f_hot_ANs_s0130,0.0389621,0,0.00655594,1.71757,0.0111804,0.295991,0.0055
etalon_f_hot_ANs_s0143,0.0389621,0,-0.00106669,0.0871781,0.00949263,0.117724,0.0055
etalon_f_hot_ANs_s0156,0.0389621,0,-0.0226593,-0.142692,-0.0291516,0.151058,0.0055
etalon_f_hot_ANs_s0169,0.0389621,0,-0.00613369,0.0548243,-0.00789511,0.0755375,0.0055
etalon_f_hot_ANs_s0182,0.0389621,0,-0.0255436,0.286217,-0.0254019,-0.113139,0.0055
etalon_f_hot_ANs_s0195,0.0389621,0,-0.0303758,-0.00507323,-0.0306097,0.203527,0.0055
etalon_f_hot_ANs_s0208,0.0389621,0,-0.00874717,-0.0164451,-0.00652726,0.141369,0.0055
etalon_f_hot_ANs_s0221,0.0389621,0,-0.00754828,0.0350238,-0.0092599,0.171247,0.0055
etalon_f_hot_ANs_s0234,0.0389621,0,-0.0359683,-1.22889,-0.0359363,0.655369,0.0055
etalon_f_hot_ANs_s0247,0.0389621,0,-0.0106422,0.248536,-0.0100957,0.343597,0.0055
etalon_f_hot_ANs_s0260,0.0389621,0,-0.00768064,-0.0915272,-0.0114876,0.296162,0.0055
etalon_f_hot_ANs_s0273,0.0389621,0,-0.00887976,-0.119948,-0.0185591,0.31378,0.0055
etalon_f_hot_ANs_s0286,0.0389621,0,-0.00827082,-0.0990817,-0.0152495,0.442828,0.0055
etalon_f_hot_ANs_s0299,0.0389621,0,-0.00696783,-0.34819,-0.00975721,0.138309,0.0055
etalon_f_hot_ANs_s0312,0.0389621,0,-0.0055286,0.00988665,-0.00432402,-0.102889,0.0055
etalon_f_hot_ANs_s0325,0.0389621,0,-0.0108088,-0.0635272,-0.00768569,0.0867582,0.0055
etalon_f_hot_ANs_s0338,0.0389621,0,0.00629804,0.156184,0.0235493,0.125313,0.0055
etalon_f_hot_ANs_s0351,0.0389621,0,0.00761336,0.103557,0.029146,-0.0262741,0.0055
etalon_f_hot_ANs_s0364,0.0389621,0,0.00806689,0.115313,0.0280266,-0.0425859,0.0055
etalon_f_hot_ANs_s0377,0.0389621,0,0.00652505,-0.428722,0.0335441,-0.00655326,0.0055
etalon_f_hot_ANs_s0390,0.0389621,0,0.00272095,-0.0244611,0.00741732,0.0565037,0.0055
etalon_f_hot_ANs_median|abs|,0.0389621,0,0.00761336,0.103557,0.0122494,0.145304,0.0055
etalon_f_hot_ANs_p95|abs|,0.0389621,0,0.0277181,2.04293,0.0348594,0.468294,0.0055
