case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_hot_ANs_n_s0000,0.0394241,0,0.0186721,0.491288,0.0295363,0.0483435,0.0055
etalon_f_hot_ANs_n_s0002,0.0394241,0,0.0149951,0.146458,0.0315005,-0.169735,0.0055
etalon_f_hot_ANs_n_s0004,0.0394241,0,0.00280594,0.114959,0.00929211,-0.019387,0.0055
etalon_f_hot_ANs_n_s0006,0.0394241,0,-0.0065286,-0.351863,-0.0004333,-0.363822,0.0055
etalon_f_hot_ANs_n_s0008,0.0394241,0,0.00113706,0.064299,0.00914126,-0.00629065,0.0055
etalon_f_hot_ANs_n_s0010,0.0394241,0,-0.0085273,0.0576417,-0.00860886,0.156055,0.0055
etalon_f_hot_ANs_n_s0012,0.0394241,0,-0.00776648,0.0614165,-0.0012707,-0.308996,0.0055
etalon_f_hot_ANs_n_s0014,0.0394241,0,-0.00665556,0.195758,-0.00375165,-0.293842,0.0055
etalon_f_hot_ANs_n_s0016,0.0394241,0,-0.00605439,-0.669853,0.00848661,-1.10224e-08,0.0055
etalon_f_hot_ANs_n_s0018,0.0394241,0,-0.012066,-0.1007,-0.0167163,-0.0811154,0.0055
etalon_f_hot_ANs_n_s0020,0.0394241,0,-0.00891084,-0.0827449,-0.00993951,-0.158146,0.0055
etalon_f_hot_ANs_n_s0022,0.0394241,0,-0.0178483,-0.0389336,-0.0314427,0.0703918,0.0055
etalon_f_hot_ANs_n_s0024,0.0394241,0,-0.0106348,0.0241962,-0.0209017,-0.0297163,0.0055
etalon_f_hot_ANs_n_s0026,0.0394241,0,0.00945561,0.0590384,0.0244491,0.0956647,0.0055
etalon_f_hot_ANs_n_s0028,0.0394241,0,-0.00836729,-0.0164636,-0.00907027,-0.50134,0.0055
etalon_f_hot_ANs_n_s0030,0.0394241,0,-0.02978,-0.0362664,-0.0587984,0.00288286,0.0055
etalon_f_hot_ANs_n_s0032,0.0394241,0,-0.0153617,-0.00854498,-0.0234332,-0.133079,0.0055
etalon_f_hot_ANs_n_s0034,0.0394241,0,-0.00700584,0.0466122,-0.00543326,-0.117923,0.0055
etalon_f_hot_ANs_n_s0036,0.0394241,0,-0.000349432,-0.0504888,0.00852833,-0.0206478,0.0055
etalon_f_hot_ANs_n_s0038,0.0394241,0,-0.00213731,0.0573635,0.00319442,-0.217362,0.0055
etalon_f_hot_ANs_n_s0040,0.0394241,0,-0.00922248,-0.0685317,-0.0129494,0.419772,0.0055
etalon_f_hot_ANs_n_s0042,0.0394241,0,-0.00594062,-0.176668,-0.0060641,-0.346024,0.0055
