case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_hot_ANs_op_s0000,0.0394241,0,0.0186721,0.491288,0.0295363,0.0483435,0.0055
etalon_f_hot_ANs_op_s0010,0.0394241,0,-0.0085273,0.0576417,-0.00860886,0.156055,0.0055
etalon_f_hot_ANs_op_s0020,0.0394241,0,-0.00891084,-0.0827449,-0.00993951,-0.158146,0.0055
etalon_f_hot_ANs_op_s0030,0.0394241,0,-0.02978,-0.0362664,-0.0587984,0.00288286,0.0055
etalon_f_hot_ANs_op_s0040,0.0394241,0,-0.00922248,-0.0685317,-0.0129494,0.419772,0.0055
etalon_f_hot_ANs_op_s0050,0.0394241,0,0.00677558,-0.000262944,0.0193726,-0.197161,0.0055
etalon_f_hot_ANs_op_s0060,0.0394241,0,-0.00377511,-0.0200963,-0.00477131,-0.00461837,0.0055
etalon_f_hot_ANs_op_s0070,0.0394241,0,0.0076665,-0.0892641,0.0139016,0.1864,0.0055
etalon_f_hot_ANs_op_s0080,0.0394241,0,0.012217,0.241037,0.0223301,0.248948,0.0055
etalon_f_hot_ANs_op_s0090,0.0394241,0,0.00681058,-0.0483646,0.0157333,0.0535596,0.0055
etalon_f_hot_ANs_op_s0100,0.0394241,0,0.00193721,0.655423,0.00326251,0.202118,0.0055
etalon_f_hot_ANs_op_s0110,0.0394241,0,0.00198336,0.135631,0.00338954,0.0842724,0.0055
etalon_f_hot_ANs_op_s0120,0.0394241,0,0.00840919,0.0846048,0.0129107,0.117204,0.0055
etalon_f_hot_ANs_op_s0130,0.0394241,0,0.00909448,0.305415,0.0154307,0.244939,0.0055
etalon_f_hot_ANs_op_s0140,0.0394241,0,0.00410332,0.0710277,0.00686616,0.206235,0.0055
etalon_f_hot_ANs_op_s0150,0.0394241,0,-0.00107867,0.210625,0.000188923,0.0461604,0.0055
etalon_f_hot_ANs_op_s0160,0.0394241,0,-0.00839374,0.548805,-0.0161938,-0.0466285,0.0055
etalon_f_hot_ANs_op_s0170,0.0394241,0,-0.0144288,0.475397,-0.0154281,0.0847744,0.0055
etalon_f_hot_ANs_op_s0180,0.0394241,0,-0.0233742,0.30726,-0.0245462,-0.476377,0.0055
etalon_f_hot_ANs_op_s0190,0.0394241,0,-0.0247042,0.00668175,-0.0362307,0.432221,0.0055
etalon_f_hot_ANs_op_s0200,0.0394241,0,-0.00659405,-0.0164012,-0.0138996,0.0677339,0.0055
etalon_f_hot_ANs_op_s0210,0.0394241,0,-0.00305107,0.310147,-0.0190405,0.161803,0.0055
etalon_f_hot_ANs_op_s0220,0.0394241,0,-0.00670703,-0.00266973,-0.00380304,0.390652,0.0055
etalon_f_hot_ANs_op_s0230,0.0394241,0,-0.00237401,0.045018,-0.0024978,0.0761838,0.0055
etalon_f_hot_ANs_op_s0240,0.0394241,0,-0.0167606,0.128705,-0.0213022,-0.0364302,0.0055
etalon_f_hot_ANs_op_s0250,0.0394241,0,-0.0190989,0.369722,-0.0259594,0.260339,0.0055
etalon_f_hot_ANs_op_s0260,0.0394241,0,-0.00771424,-0.830337,-0.0148045,0.319036,0.0055
etalon_f_hot_ANs_op_s0270,0.0394241,0,-0.013355,-0.268925,-0.0262792,0.187681,0.0055
etalon_f_hot_ANs_op_s0280,0.0394241,0,-0.0194218,0.0799951,-0.0249531,0.523494,0.0055
etalon_f_hot_ANs_op_s0290,0.0394241,0,-0.0201606,0.19017,-0.0293667,0.215658,0.0055
etalon_f_hot_ANs_op_s0300,0.0394241,0,-0.0179036,0.173962,-0.0230947,-0.0790383,0.0055
etalon_f_hot_ANs_op_s0310,0.0394241,0,0.00327412,-0.303887,0.0137798,0.00321095,0.0055
etalon_f_hot_ANs_op_s0320,0.0394241,0,-0.000917712,0.615317,-0.000696174,-0.00960429,0.0055
etalon_f_hot_ANs_op_s0330,0.0394241,0,0.00239248,0.082237,0.0105055,0.203839,0.0055
etalon_f_hot_ANs_op_s0340,0.0394241,0,0.000817155,0.215911,0.00295124,0.172095,0.0055
etalon_f_hot_ANs_op_s0350,0.0394241,0,0.0139384,0.351336,0.0415623,0.106335,0.0055
etalon_f_hot_ANs_op_s0360,0.0394241,0,0.0103005,0.110241,0.0273363,0.0627671,0.0055
etalon_f_hot_ANs_op_s0370,0.0394241,0,0.0107279,0.717109,0.0254902,0.303658,0.0055
etalon_f_hot_ANs_op_s0380,0.0394241,0,-0.000590908,-0.543034,0.00117199,-0.0376808,0.0055
etalon_f_hot_ANs_op_s0390,0.0394241,0,0.0025768,-0.315362,0.00451533,0.183125,0.0055
etalon_f_hot_ANs_op_median|abs|,0.0394241,0,0.00840146,0.182066,0.0151163,0.159975,0.0055
etalon_f_hot_ANs_op_p95|abs|,0.0394241,0,0.0233742,0.655423,0.0362307,0.432221,0.0055
