case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_hot_PNs_s0000,0.0168389,0,-0.0270212,0.685076,0.205326,-0.5,0.0055
etalon_f_hot_PNs_s0013,0.0168389,0,-0.134292,-0.11184,-0.0786081,0.0554384,0.0055
etalon_f_hot_PNs_s0026,0.0168389,0,-0.0736411,-0.0522372,-0.0741439,-0.389534,0.0055
etalon_f_hot_PNs_s0039,0.0168389,0,-0.113639,-0.0851204,-0.0617035,-0.444374,0.0055
etalon_f_hot_PNs_s0052,0.0168389,0,-0.0203604,0.0232136,-0.0412362,-0.0327931,0.0055
etalon_f_hot_PNs_s0065,0.0168389,0,0.000361653,0.179745,-0.0609488,9.5371e-09,0.0055
etalon_f_hot_PNs_s0078,0.0168389,0,-0.00768714,-0.0147207,-0.0171937,-4.39499e-09,0.0055
etalon_f_hot_PNs_s0091,0.0168389,0,0.00117598,0.0153643,-0.0118879,-0.146121,0.0055
etalon_f_hot_PNs_s0104,0.0168389,0,0.00781785,0.0573026,-0.0312048,-1.42157e-10,0.0055
etalon_f_hot_PNs_s0117,0.0168389,0,0.0716851,0.0396647,0.021045,-0.10913,0.0055
etalon_f_hot_PNs_s0130,0.0168389,0,0.00374654,-0.0529928,0.0102004,-0.0480681,0.0055
etalon_f_hot_PNs_s0143,0.0168389,0,0.00420687,0.0396234,0.0138117,0.0945282,0.0055
etalon_f_hot_PNs_s0156,0.0168389,0,0.00783462,0.0186253,-0.0420267,-0.394393,0.0055
etalon_f_hot_PNs_s0169,0.0168389,0,0.00885227,-0.0928276,0.0132977,-0.538627,0.0055
etalon_f_hot_PNs_s0182,0.0168389,0,-0.0638229,-0.13758,0.000249733,0.0976774,0.0055
etalon_f_hot_PNs_s0195,0.0168389,0,-0.0362847,-0.538817,0.0599056,0.152641,0.0055
etalon_f_hot_PNs_s0208,0.0168389,0,-0.021808,-1.6002,0.0811287,-0.310238,0.0055
etalon_f_hot_PNs_s0221,0.0168389,0,-0.0390255,-0.124031,0.049472,-7.4332e-10,0.0055
etalon_f_hot_PNs_s0234,0.0168389,0,-0.0717326,0.029396,-0.0661176,-0.00260045,0.0055
etalon_f_hot_PNs_s0247,0.0168389,0,-0.0331617,-0.043969,-0.0410963,-0.280473,0.0055
etalon_f_hot_PNs_s0260,0.0168389,0,-0.0544259,-0.0564109,-0.158163,-0.139235,0.0055
etalon_f_hot_PNs_s0273,0.0168389,0,-0.00938521,-0.0268697,-0.0140238,-0.0222276,0.0055
etalon_f_hot_PNs_s0286,0.0168389,0,-0.00143877,-0.0451131,-0.00243267,-0.317212,0.0055
etalon_f_hot_PNs_s0299,0.0168389,0,0.00675637,-0.048642,0.0501296,9.95415e-12,0.0055
etalon_f_hot_PNs_s0312,0.0168389,0,-0.0149607,-0.186065,0.0386262,-0.0275405,0.0055
etalon_f_hot_PNs_s0325,0.0168389,0,0.00145084,-0.252798,-0.00235692,-0.203514,0.0055
etalon_f_hot_PNs_s0338,0.0168389,0,-0.0140015,-0.0530354,-0.0515181,0.019231,0.0055
etalon_f_hot_PNs_s0351,0.0168389,0,0.00167429,0.2192,-0.0521457,-0.0817894,0.0055
etalon_f_hot_PNs_s0364,0.0168389,0,-0.00881895,0.738248,-0.0524099,0.063714,0.0055
etalon_f_hot_PNs_s0377,0.0168389,0,-0.0103223,0.297271,-0.0494729,-0.125246,0.0055
etalon_f_hot_PNs_s0390,0.0168389,0,-0.000897869,-1.0744,-0.00974141,-0.115027,0.0055
etalon_f_hot_PNs_median|abs|,0.0168389,0,0.0103223,0.0573026,0.0420267,0.0976774,0.0055
etalon_f_hot_PNs_p95|abs|,0.0168389,0,0.0916404,0.889518,0.115794,0.469406,0.0055
