case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_hot_PNs_n_s0000,0.0168389,0,-0.0151197,0.644995,0.19952,-0.5,0.0055
etalon_f_hot_PNs_n_s0002,0.0168389,0,-0.0584008,0.276954,-0.0583273,0.588283,0.0055
etalon_f_hot_PNs_n_s0004,0.0168389,0,-0.0233734,0.036251,-0.043362,-0.0616315,0.0055
etalon_f_hot_PNs_n_s0006,0.0168389,0,-0.0777042,-0.0806552,-0.113188,-0.0882242,0.0055
etalon_f_hot_PNs_n_s0008,0.0168389,0,-0.0361664,-0.0337122,-0.187787,-0.0664879,0.0055
etalon_f_hot_PNs_n_s0010,0.0168389,0,-0.090497,-0.0628962,-0.093067,-0.175088,0.0055
etalon_f_hot_PNs_n_s0012,0.0168389,0,-0.0775646,0.0604597,-0.141357,-0.410139,0.0055
etalon_f_hot_PNs_n_s0014,0.0168389,0,-0.077465,-0.0115012,-0.0784598,-0.292818,0.0055
etalon_f_hot_PNs_n_s0016,0.0168389,0,-0.133729,-0.0225442,-0.0903667,-0.0556406,0.0055
etalon_f_hot_PNs_n_s0018,0.0168389,0,-0.0674139,-0.0475634,-0.0731036,-0.253836,0.0055
etalon_f_hot_PNs_n_s0020,0.0168389,0,-0.0775921,-0.0341659,-0.0475162,-0.151101,0.0055
etalon_f_hot_PNs_n_s0022,0.0168389,0,-0.0634082,-0.0158489,-0.0633989,-0.325989,0.0055
etalon_f_hot_PNs_n_s0024,0.0168389,0,-0.0506062,-0.0364894,-0.0590055,-0.249298,0.0055
etalon_f_hot_PNs_n_s0026,0.0168389,0,-0.0740818,-0.0549461,-0.0711348,-0.301357,0.0055
etalon_f_hot_PNs_n_s0028,0.0168389,0,-0.0724136,-0.031722,-0.0332384,-0.0451058,0.0055
etalon_f_hot_PNs_n_s0030,0.0168389,0,-0.0745449,-0.0341511,-0.0347812,0.123045,0.0055
etalon_f_hot_PNs_n_s0032,0.0168389,0,-0.0577786,0.0044677,-0.112024,-0.427478,0.0055
