case,eps_mean,eps_shape_rms,no2_rel,chocho_rel,h2o_rel,dshift,reported
etalon_f_hot_PNs_op_s0000,0.0168389,0,-0.0151197,0.644995,0.19952,-0.5,0.0055
etalon_f_hot_PNs_op_s0010,0.0168389,0,-0.090497,-0.0628962,-0.093067,-0.175088,0.0055
etalon_f_hot_PNs_op_s0020,0.0168389,0,-0.0775921,-0.0341659,-0.0475162,-0.151101,0.0055
etalon_f_hot_PNs_op_s0030,0.0168389,0,-0.0745449,-0.0341511,-0.0347812,0.123045,0.0055
etalon_f_hot_PNs_op_s0040,0.0168389,0,-0.112263,-0.0674669,-0.0394928,0.0827706,0.0055
etalon_f_hot_PNs_op_s0050,0.0168389,0,-0.038778,-0.00724164,-0.0347265,-0.185316,0.0055
etalon_f_hot_PNs_op_s0060,0.0168389,0,-0.0331674,0.00912934,-0.0448741,0.224453,0.0055
etalon_f_hot_PNs_op_s0070,0.0168389,0,-0.0100548,-0.0335382,0.0152206,0.153678,0.0055
etalon_f_hot_PNs_op_s0080,0.0168389,0,-0.028483,-0.0396503,-0.00696247,0.0157875,0.0055
etalon_f_hot_PNs_op_s0090,0.0168389,0,-0.0135267,0.0110225,-0.0308571,-4.11671e-13,0.0055
etalon_f_hot_PNs_op_s0100,0.0168389,0,0.00851183,-0.0660679,-0.013492,-0.51804,0.0055
etalon_f_hot_PNs_op_s0110,0.0168389,0,-0.0173711,-0.0463907,0.00958914,0.246092,0.0055
etalon_f_hot_PNs_op_s0120,0.0168389,0,0.016892,0.0713934,0.00637094,0.107077,0.0055
etalon_f_hot_PNs_op_s0130,0.0168389,0,0.00366697,-0.0544458,0.0125708,-6.54321e-09,0.0055
etalon_f_hot_PNs_op_s0140,0.0168389,0,0.0294101,0.0807298,0.005425,-0.140604,0.0055
etalon_f_hot_PNs_op_s0150,0.0168389,0,0.0129201,-0.148813,0.0852188,0.138484,0.0055
etalon_f_hot_PNs_op_s0160,0.0168389,0,0.0149075,0.00814747,0.0162025,-0.063161,0.0055
etalon_f_hot_PNs_op_s0170,0.0168389,0,0.00282722,-0.0909161,0.0615966,-0.0231246,0.0055
etalon_f_hot_PNs_op_s0180,0.0168389,0,-0.0321159,-0.231395,0.043295,-0.320067,0.0055
etalon_f_hot_PNs_op_s0190,0.0168389,0,-0.0306295,-0.734606,-0.000279558,-0.31727,0.0055
etalon_f_hot_PNs_op_s0200,0.0168389,0,-0.0292755,-0.30141,0.0797414,-0.0547319,0.0055
etalon_f_hot_PNs_op_s0210,0.0168389,0,-0.00275953,-0.0399848,0.0353239,0.047156,0.0055
etalon_f_hot_PNs_op_s0220,0.0168389,0,-0.0187152,-0.156909,0.0372123,-0.346892,0.0055
etalon_f_hot_PNs_op_s0230,0.0168389,0,-0.0443674,-0.103972,-0.066531,-0.188867,0.0055
etalon_f_hot_PNs_op_s0240,0.0168389,0,-0.0739454,-0.201893,0.0139754,-0.196335,0.0055
etalon_f_hot_PNs_op_s0250,0.0168389,0,-0.0447572,-0.0746449,-0.00285272,-0.127842,0.0055
etalon_f_hot_PNs_op_s0260,0.0168389,0,-0.0544559,-0.056391,-0.158102,-0.139061,0.0055
etalon_f_hot_PNs_op_s0270,0.0168389,0,-0.015698,-0.0698085,0.011578,0.127687,0.0055
etalon_f_hot_PNs_op_s0280,0.0168389,0,-0.0124021,-0.494067,0.0369944,-0.250271,0.0055
etalon_f_hot_PNs_op_s0290,0.0168389,0,-0.0168186,-0.121724,0.0236248,-0.0400437,0.0055
etalon_f_hot_PNs_op_s0300,0.0168389,0,-0.00999688,-0.155028,0.0172412,-0.340392,0.0055
etalon_f_hot_PNs_op_s0310,0.0168389,0,0.000172352,-0.116623,0.0344502,-0.0662229,0.0055
etalon_f_hot_PNs_op_s0320,0.0168389,0,0.00581248,0.11509,-0.0147882,0.032862,0.0055
etalon_f_hot_PNs_op_s0330,0.0168389,0,0.0113723,-0.0158216,-0.0115661,-0.322615,0.0055
etalon_f_hot_PNs_op_s0340,0.0168389,0,-0.0121095,0.0110949,-0.0279881,0.0570623,0.0055
etalon_f_hot_PNs_op_s0350,0.0168389,0,-0.0155591,-0.027759,-0.0526892,0.0579867,0.0055
etalon_f_hot_PNs_op_s0360,0.0168389,0,-0.013405,0.652565,-0.102939,-0.114034,0.0055
etalon_f_hot_PNs_op_s0370,0.0168389,0,-0.0239281,-0.602006,-0.10774,-0.00160207,0.0055
etalon_f_hot_PNs_op_s0380,0.0168389,0,-0.00853628,-0.751263,-0.105,-0.00325218,0.0055
etalon_f_hot_PNs_op_s0390,0.0168389,0,-0.000927991,-1.05598,-0.00969538,-0.115133,0.0055
etalon_f_hot_PNs_op_median|abs|,0.0168389,0,0.0162583,0.0730191,0.0345883,0.127765,0.0055
etalon_f_hot_PNs_op_p95|abs|,0.0168389,0,0.0775921,0.734606,0.10774,0.346892,0.0055
