shift_px,profiled_rss
-6.0,1.6910764499684215e-13
-5.95,1.6522238233659666e-13
-5.9,1.6137277230434625e-13
-5.8500000000000005,1.5755923990939388e-13
-5.800000000000001,1.5378220776021835e-13
-5.750000000000001,1.5004209611581704e-13
-5.700000000000001,1.4633932241165758e-13
-5.650000000000001,1.426743009012693e-13
-5.600000000000001,1.3904744226024897e-13
-5.550000000000002,1.3545915308721016e-13
-5.500000000000002,1.3190983767049394e-13
-5.450000000000002,1.2839989740604478e-13
-5.400000000000002,1.249297310554399e-13
-5.350000000000002,1.2149973480889257e-13
-5.3000000000000025,1.1811030155201086e-13
-5.250000000000003,1.1476182121620688e-13
-5.200000000000003,1.1145468021819335e-13
-5.150000000000003,1.081892608315463e-13
-5.100000000000003,1.0496594191690473e-13
-5.050000000000003,1.0178509854284379e-13
-5.0000000000000036,9.864710189093573e-14
-4.950000000000004,9.555231906434434e-14
-4.900000000000004,9.250111310348419e-14
-4.850000000000004,8.949384302013795e-14
-4.800000000000004,8.653086388979392e-14
-4.750000000000004,8.361252690425515e-14
-4.700000000000005,8.073917902323645e-14
-4.650000000000005,7.79111626889802e-14
-4.600000000000005,7.512881547490095e-14
-4.550000000000005,7.239246962063993e-14
-4.500000000000005,6.970245332910213e-14
-4.4500000000000055,6.705909042919266e-14
-4.400000000000006,6.446270037533437e-14
-4.350000000000006,6.191359839231477e-14
-4.300000000000006,5.941209496273348e-14
-4.250000000000006,5.695849610587033e-14
-4.200000000000006,5.455310295885648e-14
-4.150000000000007,5.219621123566687e-14
-4.100000000000007,4.988811175967303e-14
-4.050000000000007,4.762909021139326e-14
-4.000000000000007,4.54194270334016e-14
-3.9500000000000073,4.3259397291760015e-14
-3.9000000000000075,4.114927065002853e-14
-3.8500000000000076,3.908931138160882e-14
-3.800000000000008,3.707977838957696e-14
-3.750000000000008,3.512092523909627e-14
-3.700000000000008,3.3212999931882354e-14
-3.6500000000000083,3.1356244710723235e-14
-3.6000000000000085,2.9550895796345675e-14
-3.5500000000000087,2.779718304648753e-14
-3.500000000000009,2.6095330754936578e-14
-3.450000000000009,2.4445557506811354e-14
-3.4000000000000092,2.2848076033682945e-14
-3.3500000000000094,2.1303093346939057e-14
-3.3000000000000096,1.9810810463865118e-14
-3.2500000000000098,1.8371422587169002e-14
-3.20000000000001,1.698511883760065e-14
-3.15000000000001,1.56520818903514e-14
-3.1000000000000103,1.4372488277429386e-14
-3.0500000000000105,1.3146508251737023e-14
-3.0000000000000107,1.1974305712193309e-14
-2.950000000000011,1.0856038122371683e-14
-2.900000000000011,9.791856476312544e-15
-2.850000000000011,8.7819052936075e-15
-2.8000000000000114,7.826322601087263e-15
-2.7500000000000115,6.925239933492991e-15
-2.7000000000000117,6.078782219046656e-15
-2.650000000000012,5.287067682087826e-15
-2.600000000000012,4.550207716295689e-15
-2.5500000000000123,3.868306752871249e-15
-2.5000000000000124,3.2414625820289072e-15
-2.4500000000000126,2.66976631612958e-15
-2.400000000000013,2.1533022746661948e-15
-2.350000000000013,1.692148037320548e-15
-2.300000000000013,1.2863743649307128e-15
-2.2500000000000133,9.360452344182772e-16
-2.2000000000000135,6.412177271058283e-16
-2.1500000000000137,4.019419274838955e-16
-2.100000000000014,2.182609852949363e-16
