channel,qc,gas,n,r,slope_realconc_vs_scdK,intercept,rms_resid_after_fit,augur_realconc_std,rms_resid_over_std
cold,전체(QC 무관),CHOCHO,42840,0.927892519185263,0.6845423645117414,-1064150179.0544403,63567508724.24002,231100541694.5178,0.27506429997151316
cold,전체(QC 무관),H2O,42840,0.9884131389469832,1.236977237756407,0.00015751490613479506,0.08752748533864314,0.46077089806094684,0.18995879667527474
cold,전체(QC 무관),NO2,42840,0.9961042531860997,1.0830790209667966,-10015145381.878971,68346118769.19369,712806310061.6045,0.09588315620169924
cold,Augur Status==OK만,CHOCHO,40487,0.9278774574995879,0.6845273755219525,-1146745008.9070756,65375560557.84586,237651194604.9558,0.2750903931558969
cold,Augur Status==OK만,H2O,40487,0.9884097396157346,1.236958708469325,0.00026323546344910386,0.09002608238542303,0.47386063062163464,0.1899843045988484
cold,Augur Status==OK만,NO2,40487,0.9961090462029999,1.083096465616973,-10485796795.101927,70254811441.42952,733154745054.7772,0.09582535189918258
hot_ans,전체(QC 무관),CHOCHO,74288,0.7275263191199971,1.0496663493394116,1070928195.2912986,1170686741.590628,1182669831.4753852,0.9898677639643447
hot_ans,전체(QC 무관),H2O,74288,0.7606085051156078,0.9797257923147896,-0.0023170492464559163,0.002052462032855739,0.0024544037846908322,0.8362365009611801
hot_ans,전체(QC 무관),NO2,74288,0.9991076839639979,0.8807834259147179,1090662818.3405046,2105313845.5588272,56543484544.71851,0.0372335356144137
hot_ans,Augur Status==OK만,CHOCHO,49409,0.7272296761553853,1.063508003881207,1480380862.210333,1231216045.1677065,1226567608.3742654,1.0037897925574621
hot_ans,Augur Status==OK만,H2O,49409,0.729049686873161,1.0203576548452045,-0.0033795751618454464,0.0022097505063474357,0.0023067438822776754,0.9579522561323676
hot_ans,Augur Status==OK만,NO2,49409,0.9989162813959999,0.8773648346611322,1581601255.3189976,2414572403.8779593,59065452277.56307,0.040879605772445295
hot_pns,전체(QC 무관),CHOCHO,74585,0.9563255253800086,0.9815494731459806,311227192.29429966,323714869.0884968,1079000873.3358855,0.30001353760510496
hot_pns,전체(QC 무관),H2O,74585,0.9778156208097581,0.9189896194147982,0.00020762472929443664,0.0006016621905840635,0.0030562054404051396,0.19686575471323858
hot_pns,전체(QC 무관),NO2,74585,0.9970382388284585,0.9276137748462707,-57539258.07348715,4001188327.8555346,55919774436.15613,0.0715522973438262
hot_pns,Augur Status==OK만,CHOCHO,56784,0.9554697145773481,0.9760443619652305,384421826.43500745,333692055.5854439,1106980446.0012038,0.30144349594507747
hot_pns,Augur Status==OK만,H2O,56784,0.9776562769239202,0.918394622320978,0.00030949837136600697,0.0005886077756015492,0.002980778326133038,0.19746781249753306
hot_pns,Augur Status==OK만,NO2,56784,0.9964002559761447,0.9282587483783606,-145023854.1238706,4548850413.050454,57597922198.06909,0.07897594634417124
hot_ans_boundfix,전체(QC 무관),CHOCHO,73023,0.6899280490901523,1.0460478720953836,1149976471.1441636,1298219617.3932464,1182864670.6553853,1.0975216773309722
hot_ans_boundfix,전체(QC 무관),H2O,73023,0.5921518444607283,0.9546909452074529,-0.0036367662760094406,0.003183845048925895,0.0024506467426120954,1.299185636821853
hot_ans_boundfix,전체(QC 무관),NO2,73023,0.9982204093340422,0.8130831256111911,1464859722.5312002,2758958901.8636794,56800868135.63473,0.048572477717692
hot_ans_boundfix,Augur Status==OK만,CHOCHO,49033,0.6938465082825567,1.0608157264394997,1598418715.5032437,1349810111.4903808,1225997260.2728302,1.1009895007350976
hot_ans_boundfix,Augur Status==OK만,H2O,49033,0.5702207614128955,1.0144303948545148,-0.005286010694070269,0.003369186563145651,0.0023053812607235886,1.4614444129246398
hot_ans_boundfix,Augur Status==OK만,NO2,49033,0.9979591129104199,0.8091068731177493,2037676615.4122686,3062607061.6495934,59155530046.52219,0.051772117657318616
hot_pns_boundfix,전체(QC 무관),CHOCHO,74609,0.956356053834012,0.9800180578341923,313455561.6764345,323201683.06687653,1079377080.337423,0.2994335241636229
hot_pns_boundfix,전체(QC 무관),H2O,74609,0.9779207921751085,0.9238257185759344,0.00016024421472916103,0.0006035539139724104,0.003057267999305636,0.19741609636757035
hot_pns_boundfix,전체(QC 무관),NO2,74609,0.9970394376617336,0.92761638944395,-58393348.45750748,4000449984.186244,55920667016.110596,0.07153795184584842
hot_pns_boundfix,Augur Status==OK만,CHOCHO,56800,0.9555430052632775,0.9762279918794581,385918947.22081614,333485343.6988399,1107062135.9482086,0.30123453135103995
hot_pns_boundfix,Augur Status==OK만,H2O,56800,0.9780389926428936,0.9201665026559475,0.00028824080085805917,0.0005844870505925476,0.0029807193787226576,0.19608925776938477
hot_pns_boundfix,Augur Status==OK만,NO2,56800,0.9964014413235349,0.9282668570098065,-146610318.44150573,4548221377.010341,57598989710.845314,0.07896356168472789
